Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SubscribeValidation_TS,Firefox 63.0,,2018-12-04 10:13:13,2018-12-04 10:13:23,9.272s,PASSED
,,,,,,
Test Cases/FutureadyLogin,Firefox 63.0,Account login to Futuready website,2018-12-04 10:13:13,2018-12-04 10:13:22,9.033s,PASSED
"openBrowser("""")",Firefox 63.0,,2018-12-04 10:13:14,2018-12-04 10:13:17,3.272s,PASSED
"navigateToUrl(""https://www.futuready.com/"")",Firefox 63.0,,2018-12-04 10:13:17,2018-12-04 10:13:19,2.447s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/a_Masuk""))",Firefox 63.0,,2018-12-04 10:13:19,2018-12-04 10:13:20,0.276s,PASSED
"setText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_email""), ""hadyantaris@outlook.com"")",Firefox 63.0,,2018-12-04 10:13:20,2018-12-04 10:13:20,0.107s,PASSED
"setEncryptedText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_password""), ""fdb7XptOiRBV7ErEd46qXQ=="")",Firefox 63.0,,2018-12-04 10:13:20,2018-12-04 10:13:20,0.101s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Masuk""))",Firefox 63.0,,2018-12-04 10:13:20,2018-12-04 10:13:21,1.235s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Langganan""))",Firefox 63.0,,2018-12-04 10:13:21,2018-12-04 10:13:22,0.287s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""))",Firefox 63.0,,2018-12-04 10:13:22,2018-12-04 10:13:22,0.263s,PASSED
"verifyElementPresent(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""), 0)",Firefox 63.0,,2018-12-04 10:13:22,2018-12-04 10:13:22,0.020s,PASSED
closeBrowser(),Firefox 63.0,,2018-12-04 10:13:22,2018-12-04 10:13:22,0.691s,PASSED
