Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SubscribeValidation_TS,Firefox 63.0,,2018-12-04 10:48:43,2018-12-04 10:48:54,10.755s,PASSED
,,,,,,
Test Cases/FutureadyLogin,Firefox 63.0,Account login to Futuready website,2018-12-04 10:48:44,2018-12-04 10:48:54,10.566s,PASSED
"openBrowser("""")",Firefox 63.0,,2018-12-04 10:48:44,2018-12-04 10:48:48,3.835s,PASSED
"navigateToUrl(""https://www.futuready.com/"")",Firefox 63.0,,2018-12-04 10:48:48,2018-12-04 10:48:51,3.498s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/a_Masuk""))",Firefox 63.0,,2018-12-04 10:48:51,2018-12-04 10:48:52,0.270s,PASSED
"setText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_email""), ""hadyantaris@outlook.com"")",Firefox 63.0,,2018-12-04 10:48:52,2018-12-04 10:48:52,0.098s,PASSED
"setEncryptedText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_password""), ""fdb7XptOiRBV7ErEd46qXQ=="")",Firefox 63.0,,2018-12-04 10:48:52,2018-12-04 10:48:52,0.102s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Masuk""))",Firefox 63.0,,2018-12-04 10:48:52,2018-12-04 10:48:53,1.272s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Langganan""))",Firefox 63.0,,2018-12-04 10:48:53,2018-12-04 10:48:53,0.269s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""))",Firefox 63.0,,2018-12-04 10:48:53,2018-12-04 10:48:54,0.265s,PASSED
"verifyElementPresent(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""), 0)",Firefox 63.0,,2018-12-04 10:48:54,2018-12-04 10:48:54,0.025s,PASSED
closeBrowser(),Firefox 63.0,,2018-12-04 10:48:54,2018-12-04 10:48:54,0.625s,PASSED
