Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SubscribeValidation_TS,Firefox 63.0,,2018-12-04 11:12:11,2018-12-04 11:12:24,13.247s,PASSED
,,,,,,
Test Cases/FutureadyLogin,Firefox 63.0,Account login to Futuready website,2018-12-04 11:12:11,2018-12-04 11:12:24,13.014s,PASSED
"openBrowser("""")",Firefox 63.0,,2018-12-04 11:12:11,2018-12-04 11:12:14,3.328s,PASSED
"navigateToUrl(""https://www.futuready.com/"")",Firefox 63.0,,2018-12-04 11:12:14,2018-12-04 11:12:20,5.606s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/a_Masuk""))",Firefox 63.0,,2018-12-04 11:12:20,2018-12-04 11:12:20,0.287s,PASSED
"setText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_email""), ""hadyantaris@outlook.com"")",Firefox 63.0,,2018-12-04 11:12:20,2018-12-04 11:12:20,0.089s,PASSED
"setEncryptedText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_password""), ""fdb7XptOiRBV7ErEd46qXQ=="")",Firefox 63.0,,2018-12-04 11:12:20,2018-12-04 11:12:21,0.099s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Masuk""))",Firefox 63.0,,2018-12-04 11:12:21,2018-12-04 11:12:23,2.065s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Langganan""))",Firefox 63.0,,2018-12-04 11:12:23,2018-12-04 11:12:23,0.277s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""))",Firefox 63.0,,2018-12-04 11:12:23,2018-12-04 11:12:23,0.254s,PASSED
"verifyElementPresent(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""), 0)",Firefox 63.0,,2018-12-04 11:12:23,2018-12-04 11:12:23,0.023s,PASSED
closeBrowser(),Firefox 63.0,,2018-12-04 11:12:23,2018-12-04 11:12:24,0.660s,PASSED
