Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SubscribeValidation_TS,Firefox 63.0,,2018-12-04 10:15:55,2018-12-04 10:16:10,15.097s,PASSED
,,,,,,
Test Cases/FutureadyLogin,Firefox 63.0,Account login to Futuready website,2018-12-04 10:15:55,2018-12-04 10:16:10,14.808s,PASSED
"openBrowser("""")",Firefox 63.0,,2018-12-04 10:15:55,2018-12-04 10:15:58,3.253s,PASSED
"navigateToUrl(""https://www.futuready.com/"")",Firefox 63.0,,2018-12-04 10:15:58,2018-12-04 10:16:06,8.043s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/a_Masuk""))",Firefox 63.0,,2018-12-04 10:16:06,2018-12-04 10:16:07,0.297s,PASSED
"setText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_email""), ""hadyantaris@outlook.com"")",Firefox 63.0,,2018-12-04 10:16:07,2018-12-04 10:16:07,0.122s,PASSED
"setEncryptedText(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/input_Masuk Futuready_password""), ""fdb7XptOiRBV7ErEd46qXQ=="")",Firefox 63.0,,2018-12-04 10:16:07,2018-12-04 10:16:07,0.117s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Masuk""))",Firefox 63.0,,2018-12-04 10:16:07,2018-12-04 10:16:08,1.249s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/button_Langganan""))",Firefox 63.0,,2018-12-04 10:16:08,2018-12-04 10:16:09,0.288s,PASSED
"click(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""))",Firefox 63.0,,2018-12-04 10:16:09,2018-12-04 10:16:09,0.271s,PASSED
"verifyElementPresent(findTestObject(""SubscribeValidation_OR/Page_Futuready Supermarket Asuransi/label_Data wajib diisi""), 0)",Firefox 63.0,,2018-12-04 10:16:09,2018-12-04 10:16:09,0.025s,PASSED
closeBrowser(),Firefox 63.0,,2018-12-04 10:16:09,2018-12-04 10:16:10,0.801s,PASSED
